ID;TEXTURE;TPBUS;FAMILY;TYPOLOGY;INDUSTRIAL;DESCRIPTOR;MARKETING_NAME;ACTIVES;SPF;FREE_FROM;PACKAGING;SEL;EVENT;COLLECTION;TXT_REPLACE;FORMULATOR;ST_STABILITY;ST_COMPATIBILITY;STAB_BEG_DATE;STAB_END_DATE;COMP_T_BEG_DATE;COMP_T_END_DATE;EFFICACY_TEST;PANEL_TEST;ROW_MAT_SHORTAGE;EXCLUSIVITY;ESCL_CUST;FILLING_TIP;EFF_ACTIVES;VEGAN;MARKETABLE_BULK;ADR;SEMAFORO_INDUSTRIALIZZAZIONE;NATURALITY;RANGE;ST_SAMPLING;ST_SAMPLING_STOCK;ST_SAFETY_TEST;ST_IMERYS_TALC;SEMAFOTO_TALCO_COST;PLANT;ESTIM_REAL_FORM_DATE;ESTIM_TECN_TRANS_DATE;TXT_ATL;SEMAFORO_TEC_TRANSFER;CONSUMER_CLUSTER;LOW_VALUE;MEDIUM_VALUE;HIGH_VALUE
2209;LP747;M;BLUSH | LIPSTICK;STICK;ANHYDROUS (HOT POURED IN MOULD);;VERDICT;Sodium Hyaluronate, Ricinus Communis Seed Oil, Hydrogenated Castor Oil (2% funct.), Simmonsia Chinen;;OGM | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | PHTHALATES | PRESERVATIVES | SILICONES | SLS | TALC;;O;Cosmoprof 2025 | MakeUp in New York 2023;Editorial Renaissance;;;G;G;11-LUG-23;11-OTT-23;11-LUG-23;11-OTT-23;;;;;;LIPSTICK POURING SOFT;Y;Y;;;G;;;;;G;;;Italy;;;N;G;Beautopians | Hero Believers;41,42;42,67;43,86
1345;EX064;M;LIPSTICK;CHALK;EXTRUDED;METALLIC;LIP ART;;;FRAGRANCE | PARABENS;Special chalk holder;H;Chromaville 2017;;;Erika Motti;G;G;06-APR-17;06-LUG-17;06-APR-17;06-LUG-17;N;;;;;;;;;;G;;;O;G;G;R;;Italy;;;N;G;;20,68;21,86;24,61
412;Z87;M;EYESHADOW;GODET;COMPACT POWDER;BLURRING | LONG LASTING | MAT | VELVETY | WET & DRY;Double effect;;;PARABENS;Aluminium pan;H;;;;;G;G;15-GIU-07;17-SET-07;15-GIU-07;17-SET-07;N;;;;;;;;;;G;;;O;G;G;O;;Italy;;;N;G;;9,53;10,99;86,16
467;Q67;M;MASCARA;FLUID/ LIQUID;EMULSION;CREAMY | CURLING | NATURAL | PANORAMIC;GREEN LIGHT/CLEAN BEAUTY;Argan oil;;D5 | FRAGRANCE | MINERAL OIL | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | SILICONES | T.E.A.;Chromavis suggestion: Bomal AP 168 -This brush is made with fibres obtained from the castor oil plan;H;MakeUp in Los Angeles 2019 | MakeUp in New York 2018 | MakeUp in Paris 2018;Clean Beauty | Green Light;;;G;G;;;;;N;;;;;;N;;;;G;98,00%;;O;G;O;;;Italy;;;N;G;;;;
503;L06;M;LINER;FLUID/ LIQUID;ANHYDROUS;LONG LASTING | LUMINOUS / RADIANT | NO TRANSFER | WATERPROOF;Deep liner;Vitamin E and C;;PARAFFIN | PHENOXYETHANOL | SLS | T.E.A.;Airtight packaging is required;H;CHINA BEAUTY EXPO 2019 | Cosmoprof 2011 | Cosmoprof Asia 2019 | Fall-Winter 2012-2013;Blushing Tenderness | Cruise 2012-13 | Eyes;;;G;G;;;;;Y;;;;;;N;Y;;;G;;;O;G;O;R;;Italy;;;N;G;;12,19;16,66;17,32
1709;MA251;M;MASCARA;CARE | FLUID/ LIQUID;EMULSION;PANORAMIC | VOLUME;REST-ORE;Green tea extract, Blend of natural waxes, Special high purity black pigment;;D5 | FRAGRANCE | PARABENS | T.E.A.;;H;MakeUp in Paris 2019;Slow Life;;Elisa Gerbaudo;G;G;18-MAG-20;18-MAG-20;18-MAG-20;18-MAG-20;;;;;;LIQUID FILLING;;;;;G;;;O;G;O;;;Italy;;;N;G;;10,81;11,34;13,31
1504;LP344;M;LIPSTICK;STICK;EMULSION;BLURRING | LONG LASTING | LUMI-MAT | VELVETY | WATER;SPRING DEW;•  Precious extract from fruit and leaves of Mediterranean Olive tree (functional);;MINERAL OIL | PARABENS | PARAFFIN | SLS;airtight pack is required;H;CHINA BEAUTY EXPO 2019 | Cosmoprof 2008 | Cosmoprof 2018 | MakeUp in Los Angeles 2020;No Gravity;;Valentina Pinto;G;G;23-MAG-18;24-AGO-18;23-MAG-18;24-AGO-18;N;;;;;;Y;N;;;G;;;O;G;O;;;Italy;;;N;G;;26,2;0;0
1588;PR148;M;HIGHLIGHTER;BODY APPLICATION | OIL;ANHYDROUS (LIQUID TO CREAM);FROST / PEARLY / SATIN | LUMINOUS / RADIANT | MULTIDIMENSIONAL (3D/color travel);BILLIONARE;•  Avocado oil •  Sweet almond oil •  Marula oil;;D5 | PRESERVATIVES | TALC;Glass pump bottle;H;Cosmoprof 2008 | MakeUp in New York 2018;Sun Vector;;;G;G;28-SET-18;28-SET-18;04-OTT-18;04-GEN-19;N;;;;;;N;;;;G;;;O;G;G;G;;Italy;;;N;G;;17,59;0;43,26
1127;PR029;M;BLUSH;BOUNCY;EXTRUDED;MAT | SPECIAL TOUCH | VELVETY;PLAY WITH ME!;;;D5 | FRAGRANCE | PARABENS;Classic pan;H;CHINA BEAUTY EXPO 2019 | Chromaville 2015;;;;G;G;21-GEN-15;21-APR-15;21-GEN-15;21-APR-15;N;;;;;;N;;;;O;;;O;G;O;R;;Italy;;;N;O;;;;
1410;PW225;M;EYESHADOW;GODET;COMPACT POWDER;CREAMY | LONG LASTING | METALLIC;METAL SPRAWL;;;MINERAL OIL | PARABENS | PARAFFIN | PERFUMES | TALC;Pot, pan or pen.;H;Cosmoprof 2019 | Cosmoprof Asia 2017 | Cosmoprof Asia 2018 | MakeUp in Los Angeles 2019 | MakeUp in Los Angeles 2020 | MakeUp in New York 2017 | MakeUp in Paris 2017;Dark Vision | Glitter Alchemy | Heartthrob;;RenÃ¨ Pisati;G;G;31-MAG-17;31-AGO-17;31-MAG-17;31-AGO-17;Y;;;;;;;Y;;;G;;;O;G;G;;;Italy;;;N;G;;43,48;57,06;365,25
