ID;TEXTURE;TPBUS;FAMILY;TYPOLOGY;INDUSTRIAL;DESCRIPTOR;MARKETING_NAME;ACTIVES;SPF;FREE_FROM;PACKAGING;SEL;EVENT;COLLECTION;TXT_REPLACE;FORMULATOR;ST_STABILITY;ST_COMPATIBILITY;STAB_BEG_DATE;STAB_END_DATE;COMP_T_BEG_DATE;COMP_T_END_DATE;EFFICACY_TEST;PANEL_TEST;ROW_MAT_SHORTAGE;EXCLUSIVITY;ESCL_CUST;FILLING_TIP;EFF_ACTIVES;VEGAN;MARKETABLE_BULK;ADR;SEMAFORO_INDUSTRIALIZZAZIONE;NATURALITY;RANGE;ST_SAMPLING;ST_SAMPLING_STOCK;ST_SAFETY_TEST;ST_IMERYS_TALC;SEMAFOTO_TALCO_COST;PLANT;ESTIM_REAL_FORM_DATE;ESTIM_TECN_TRANS_DATE;TXT_ATL;SEMAFORO_TEC_TRANSFER;CONSUMER_CLUSTER;LOW_VALUE;MEDIUM_VALUE;HIGH_VALUE
362;Q61;M;FOUNDATION;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);LONG LASTING | LUMINOUS / RADIANT;Skin feeling;Grape seed oil/Haloxyl/ Txt.-15R/ CS09 contains pea exctract;37 Tested;PRESERVATIVES;Tube/pump;H;Cosmoprof 2024;;;Marie Paule Robert;G;G;13-GIU-18;13-GIU-18;04-APR-18;04-LUG-18;;;;;;;;;;;G;;;O;G;G;;;Italy;;;N;G;;14,87;15,32;23,51
389;I08;M;FACE POWDER;GODET;COMPACT POWDER;MAT;Velvet touch;;;GLUTEN | LACTOSE | OGM | PARABENS;Compact ø 59;H;Fall-Winter 2012-2013 | MakeUp in New York 2024;Cruise 2012-13;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;R;;Italy;;;N;G;;;;
395;I37;M;FACE POWDER;GODET;COMPACT POWDER;CREAMY | MAT | WET & DRY;Cult skin;Vitamin E/Friut milk complex;;PARABENS;Aluminium pan;H;;;;;G;G;18-MAR-22;18-MAR-22;18-MAR-22;18-MAR-22;N;;;;;;N;Y;;;G;;;O;G;G;G;;Italy;;;N;G;;5,45;5,89;13,37
391;I02;M;BLUSH | BRONZER | FACE POWDER;GODET;COMPACT POWDER;FROST / PEARLY / SATIN | MAT;Perfect look;;;PARABENS;Compact ø 59;H;MakeUp in New York 2024;;;;G;G;29-NOV-07;29-FEB-08;29-NOV-07;29-FEB-08;N;;;;;;;;;;G;;;O;G;G;O;;Italy;;;N;G;;2,18;4,4;19,24
1993;EM717;M;MULTIUSE;CARE | FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);LONG LASTING | NO TRANSFER | SATIN/PEARLY | WATERPROOF;WITTY;Extract of Imperata Cylindrica root (FUNCTIONAL 3%);;MINERAL OIL | OGM | PARABENS | PARAFFIN | PERFUMES | PHTHALATES | SLS | TALC;airtight is required;O;MakeUp in New York 2021;New Vibes;;;G;G;23-GIU-21;23-SET-21;24-SET-21;24-DIC-21;;;;;;TUBE FILLING;Y;;;;G;;;;;G;G;;Italy;;;N;G;;19;19,06;19,18
1994;LP655;M;BLUSH | LIPSTICK;STICK;ANHYDROUS;DEWY / WET;DEWY POP;marauja oil, Jojoba Ester, Pure Vitamin E;;MINERAL OIL | PARABENS | PARAFFIN | PEG | PERFUMES | PHENOXYETHANOL | PHTHALATES | PRESERVATIVES | SILICONES | SLS | TALC;;H;MakeUp in New York 2021;New Vibes;;;G;G;14-APR-22;14-APR-22;14-APR-22;14-APR-22;;;;;;LIPSTICK POURING SOFT;N;Y;;;G;;;;;G;G;;Italy;;;N;O;;18,01;20,36;21,63
2022;LP515;M;LIPSTICK;HOT POURED;ANHYDROUS (HOT POURED IN MOULD);LUMINOUS / RADIANT | PLUMPING | TRANSPARENT | UNIVERSAL / ALL SKIN TYPES;artistick;Vitamin E;;;;O;Chromaville 2012 | Cosmoprof 2022 | Cosmoprof 2023;Day to play | Post Perfectionism;;;G;G;26-GEN-22;26-GEN-22;26-GEN-22;26-GEN-22;;;;;;;;Y;;;G;;;;;G;G;;Italy;;;N;G;Beauty&Ethics | Hero Believers | Solution Focused;38,56;38,76;45,01
840;PR006;M;FIXER / SETTING | PRIMER;GODET;COMPACT POWDER;TRANSPARENT;Invisible glue;;;PRESERVATIVES | SILICONES;Compact with sponge;H;Chromaville 2012;Long Fidelity;;;G;G;26-OTT-20;26-OTT-20;26-OTT-20;26-OTT-20;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;27,49;0;34,59
791;PW099;M;BRONZER;GODET;COMPACT POWDER;FROST / PEARLY / SATIN | LUMINOUS / RADIANT;Sun glow;Melano bronzer/ Vit. E/ Avocado oil;;;Compact;H;;;;;R;R;;;;;;;;;;;;;;;R;;;O;G;O;R;;Italy;;;N;R;;;;
792;MUC001;M;CONCEALER;PENCIL;PENCILS;CREAMY | LUMI-MAT;STOP IMPERFECTIONS!;;;OIL | PRESERVATIVES | SILICONES;;H;Chromaville 2012 | Fall-Winter 2012-2013;Cruise 2012-13 | Make-Mix;;;R;R;;;;;;;;;;;;;;;R;;;O;G;O;;;Italy;;;N;R;;4,63;0;0
461;C209;M;LINER;GODET;BAKED;FROST / PEARLY / SATIN | MAT | WET & DRY;Perfect;Vitamin E/ Vitamin A;;PARABENS;Compact Terracotta pan;H;;;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;R;;Italy;;;N;G;;14,12;20,8;64,96
594;P89;M;HIGHLIGHTER;SPRAY;ANHYDROUS;LUMINOUS / RADIANT;Luminous stick;Shea butter/Vitamin E/Marula oil;;PRESERVATIVES;Stick;H;Cosmoprof 2006;;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;47,99;0;59,92
613;LP018;M;PRIMER;CARE | HOT POURED;ANHYDROUS;CURLING | LUMINOUS / RADIANT;Dual touch;Vitamin E;;PRESERVATIVES;Classical godet;H;Chromaville 2016 | Cosmoprof 2006;;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;;;Italy;;;N;G;;14,28;18,05;18,1
633;MA040;M;MASCARA;FLUID/ LIQUID;GEL;CREAMY | LENGHTENING | LONG LASTING | PANORAMIC | WATERPROOF;No limit;Lipofacteur;;PARABENS | T.E.A.;PETG Bottle - Chromavis suggestion: Bomal Brush: AP 034;H;Cosmoprof 2010 | Fall-Winter 2011-2012;Balkan | Time Freeze;;;G;G;;;;;Y;;;;;;N;;;;G;;;O;G;O;;;Italy;;;N;G;;21,03;21,41;26,59
638;PW079;M;BLUSH | HIGHLIGHTER;BEADS;BEADS;FROST / PEARLY / SATIN | LUMINOUS / RADIANT;Satin;Pear seeds extract;;;Pot;H;Cosmoprof 2010 | Fall-Winter 2014-2015;Nude;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;R;;Italy;;;N;G;;;;
661;Q86;M;GLOSS;FLUID/ LIQUID;ANHYDROUS;CREAMY | DEWY / WET | LUMINOUS / RADIANT | PLUMPING;Extra volume lips;Maxi lip/ Vitamin E;15 Theor.;PRESERVATIVES;Brush applicator;H;Fall-Winter 2012-2013;Cruise 2012-13;;;R;R;;;;;;;;;;;;;;;R;;;O;G;O;;;Italy;;;N;R;;22,57;0;0
1666;LP446;M;LIPSTICK;STICK;ANHYDROUS;CREAMY | FROST / PEARLY / SATIN | METALLIC;SAY IT TO ME;;;D5 | PRESERVATIVES;Stick ø 12,7 with double-coloured tip Presented also in a pencil format;H;Cosmoprof 2019 | Drops June 2020;Heartthrob | Smartools;;;G;G;22-FEB-19;22-MAG-19;22-FEB-19;22-MAG-19;N;;;;;;N;;;;R;;;O;G;O;;;Italy;;;N;R;;;;
1671;PRV002;M;;;;;Prova;;;;;H;;;;;R;R;;;;;;;;;;;;;;;R;;;O;G;O;;;Italy;;;N;R;;;;
1620;EM458;M;FOUNDATION;FLUID/ LIQUID;EMULSION;BLURRING | LONG LASTING | MAT | NO TRANSFER | WATERPROOF;24H XTEND FOUNDATION;Extract from Bermuda Island, Instant anti-aging optical filler;;ALCOHOL | D5 | PARABENS;Pump flaconette;H;Cosmoprof Asia 2018;;;Marie Paule Robert;G;G;25-OTT-18;25-OTT-18;25-OTT-18;25-OTT-18;Y;;;;;;N;Y;;;G;;;O;G;O;;;Italy;;;N;G;;36,91;37,04;37,32
1645;EM510;M;FOUNDATION;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);LUMINOUS / RADIANT | NATURAL;SKIN PLENITUDE;•  Indian Goose Berry Tree •  Indian Ginseng Root Extract;30 Tested;PARABENS | PARAFFIN | SLS;Airtight packaging is required. Presented in tube with pump;O;Cosmoprof 2019 | Cosmoprof Asia 2019;Blushing Tenderness | Positive Luxury;;;O;G;26-AGO-19;26-NOV-19;15-APR-19;15-LUG-19;Y;;Y;;;;Y;Y;;;G;75,00%;>70 - <90%;O;G;G;G;;Italy;;;N;G;;22,16;0;22,51
951;EM161;M;FIXER / SETTING | PRIMER;FLUID/ LIQUID;EMULSION;LUMINOUS / RADIANT;SOULSTICE;Lumiskin (in a functional percentage 4%) |  Glycerine (5%);10 Theor.;CYCLOPENTHASILOXANE | D5 | PARABENS | PARAFFIN | PHTHALATES | SLS;Air tight and frosted tube or pump. Shake well before use.;H;Chromaville 2016 | Cosmoprof 2020 | Fall-Winter 2014-2015 | Fall-Winter 2014-2015 | MakeUp in Los Angeles 2019;Glass Gloss Skin | Nude | Nude Naif | Trend - IdentitÃ ;;Marie Paule Robert;G;G;27-GIU-12;27-SET-12;02-MAR-20;04-MAG-20;Y;Y;Y;;;;Y;Y;;;G;;;O;G;O;G;;Italy;;;N;G;;33,43;33,71;41,59
1065;AFF120529;M;BRONZER;SPRAY;AEROSOL;;Brume de soleil;;;PARABENS | PHENOXYETHANOL;Spray;H;Chromaville 2014 | Fall-Winter 2008-2009;;;;R;R;;;;;;;;;;;;;;;R;;;O;G;O;;;Care;;;N;R;;;;
1104;LP157;M;LIPSTICK;FLUID/ LIQUID;ANHYDROUS;GLOSSY / SHINY;TRUE GLOSS LAYER;;;;- Special Brivaplast applicator APP 056 C - Special liquid lipstick case ICS - Airtight packaging required - Not transparent packaging required;H;Fall-Winter 2015-2016;;;Erika Pellini;G;G;04-GIU-18;04-GIU-18;04-GIU-18;04-GIU-18;N;;;;;;;;;;R;;;O;G;O;;;Italy;;;N;R;;18,48;20,1;24,14
1003;AFF120316;M;LIPSTICK;HOT POURED;ANHYDROUS;METALLIC;Rouge chrome;;;;;H;;;;;R;R;;;;;;;;;;;;;;;R;;;O;G;O;;;Care;;;N;R;;;;
1022;SL016;M;EYESHADOW;GODET;INJECTION (BACK / FRONT);MAT;Water Inject - Mat;;;PARABENS;Special plastic godet;H;Chromaville 2013 | Chromaville 2014 | Cosmoprof 2007;Powders;;;G;G;14-MAR-22;14-MAR-22;14-MAR-22;14-MAR-22;;;;;;;;;;;G;;;O;G;G;R;;Italy;;;N;G;;9,69;11,35;13,44
1857;SL037;M;HIGHLIGHTER;GODET;INJECTION (BACK / FRONT);LONG LASTING | LUMINOUS / RADIANT;MYSTIC;Maracuja oil, Monoi de thaiti, Almond oil;;PARABENS;;H;Cosmoprof 2020;;;;G;G;20-DIC-21;20-DIC-21;20-DIC-21;20-DIC-21;;;;;;BACK INJECTION;;;;;G;;;O;G;O;;;Italy;;;N;G;;17;21,17;29,47
1880;EM620;M;FOUNDATION;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);BLURRING | LUMI-MAT | SPECIAL TOUCH | VELVETY;Out There;*see notes;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | PHTHALATES | SILICONES | SLS | TALC;;H;Cosmoprof 2021 | Drops September 2020;Clean Future;;Marie Paule Robert;G;G;08-FEB-21;08-MAG-21;10-MAR-21;10-GIU-21;;;;;;LIQUID FILLING;Y;Y;;;G;;;R;R;G;G;;Italy;31-DIC-22;;N;G;;17,01;0;0
1882;LP569;M;LIPSTICK;FLUID/ LIQUID;ANHYDROUS;LONG LASTING | NO TRANSFER;LIP MASTERY;;;PARABENS | PRESERVATIVES | SILICONES;airtight is required;H;Cosmoprof 2021 | Drops September 2020;Clean Future;;;R;R;28-SET-20;28-DIC-20;03-NOV-20;01-MAR-21;;;;;;LIQUID FILLING;;Y;;;G;99,00%;;R;R;O;;;Italy;;;N;G;;25,63;30,25;38,11
1830;LP520;M;LIPSTICK;STICK;ANHYDROUS (HOT POURED IN MOULD);CREAMY | LUMI-MAT;KISSQUISITE;;;MINERAL OIL | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | PRESERVATIVES | SILICONES;;O;Cosmoprof 2020 | Cosmoprof 2021 | Drops June 2020 | Drops September 2020 | MakeUp in New York 2022;Clean Future | Innovation | New Satin | Quaint;;;G;G;15-GIU-20;15-SET-20;15-GIU-20;15-SET-20;;;;;;LIPSTICK POURING METAL | LIPSTICK POURING SOFT;;Y;;;G;99,00%;;O;G;G;G;;Italy;;;N;G;Essentials | Mainstream Conscious;25,6;26,44;75,28
1777;MA419;M;MASCARA;FLUID/ LIQUID | TOP COAT;EMULSION (LIQUID TO CREAM);GLOSSY / SHINY | VOLUME;HI SHINE;Castor Oil, Vitamin E;;D5 | PARABENS | PARAFFIN | PEG | SLS | T.E.A.;;H;MakeUp in New York 2019;Cybersoft;;;G;G;19-FEB-20;19-FEB-20;28-OTT-20;28-GEN-21;;;;;;LIQUID FILLING;;Y;;;G;;;O;G;G;;;Italy;31-OTT-22;;N;G;;3,82;4,35;27,55
1779;LP483;M;LIQUID LIPSTICK;FLUID/ LIQUID | MOUSSE;EMULSION (LIQUID TO CREAM);BLURRING | MAT | VELVETY | WATER;CYBERSOFT;;;MINERAL OIL | PARAFFIN;Airtight packaging is required;H;MakeUp in New York 2019;Cybersoft;;;G;G;31-LUG-19;31-OTT-19;03-OTT-19;03-GEN-20;;;;;;;;Y;;;G;;;O;G;G;G;;Italy;;;N;G;;36,69;37,53;37,61
916;PW140;M;BRONZER | FACE POWDER;GODET;COMPACT POWDER;MAT;DD powder;Depollutine, protective / Lipochroman, anti-oxidant/ Chondicare:functional perc. (1%);15 Theor.;PARABENS;Compact ø 59;H;Chromaville 2013;DD Line;;;G;G;;;;;;;;;;;;;;;G;;;O;G;O;R;;Italy;;;N;G;;14,33;0;14,49
1764;SL035;M;EYESHADOW;GODET;INJECTION (BACK / FRONT);METALLIC | SPECIAL TOUCH;METAL PLEASURE;;;MINERAL OIL | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | SLS | TALC;Back Injection Palette;H;MakeUp in New York 2019;Alpha;;;R;R;;;;;;;;;;;;;;;R;;;O;G;O;;;Italy;;;N;R;;18,92;37,55;46,68
1747;MA411;M;LINER;FLUID/ LIQUID;GEL (WATER BASED);LONG LASTING | LUMI-MAT | NATURAL;Accurate;;;MINERAL OIL | PARABENS | PARAFFIN | PEG | PERFUMES | SILICONES | SLS;Airtight packaging is required;O;MakeUp in New York 2019;The end of more;;;G;G;19-FEB-20;19-FEB-20;19-FEB-20;19-FEB-20;;;Y;;;LIQUID FILLING;;Y;;;G;88,00%;>70 - <90%;O;G;G;G;;Italy;;;N;G;Beauty&Ethics | Solution Focused;6,02;6,33;6,86
1697;EM535;M;FOUNDATION;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);LUMINOUS / RADIANT | NATURAL;FANTASIA;;;GLUTEN | MINERAL OIL | OGM | PARABENS | PARAFFIN | SILICONES;Pump;H;Cosmoprof 2021 | MakeUp in Paris 2019;Quaint | Return;;Marie Paule Robert;G;G;23-LUG-19;23-OTT-19;22-AGO-19;22-NOV-19;;;;;;BOTTLE WITH PUMP FILLING | LIQUID FILLING;;Y;;;G;76,00%;;O;G;G;G;;Italy;;;N;G;;17,32;17,42;17,54
1714;SL032;M;LIPSTICK;GODET;INJECTION (BACK / FRONT);CREAMY | FROST / PEARLY / SATIN | MAT;LIP INJECTION;;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PERFUMES | PHTHALATES | SILICONES | SLS | TALC;Back injection pack;H;Cosmoprof 2021 | Drops June 2020 | MakeUp in Paris 2019;Bobo Chic | Skin Adaptor;;;R;R;14-MAR-22;14-MAR-22;14-MAR-22;14-MAR-22;;;;;;;;;;;G;;;O;G;G;;;Italy;;;N;G;;15,97;22,12;36,41
1654;PR160;M;BRONZER | HIGHLIGHTER;CUSHION;ANHYDROUS (HOT POURED IN MOULD);FROST / PEARLY / SATIN | GLITTER-RING / DIAMOND / SPARKLING | LUMINOUS / RADIANT | TALC FREE;HYPERSPACE;;;D5 | PRESERVATIVES | TALC;Domed trousse ø¸59;H;Cosmoprof 2019 | Cosmoprof 2020 | Drops September 2020 | MakeUp in New York 2019;Cybersoft | New Hybrid | Techno B | Texture WOW;;;G;G;31-MAG-19;31-MAG-19;20-FEB-20;20-MAG-19;N;;;;;;N;Y;;;G;;;O;G;G;G;;Italy;;;N;G;;113,12;114,18;119,41
1343;EM366;M;CONCEALER | FOUNDATION;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);LUMI-MAT;WOKE UP LIKE THIS;Vitamin E |  Blueberry seed oil |  Moisturizing ingredient |  Spherical functional filler.;;D5 | FRAGRANCE | PARABENS;Air tight bottle and tube;H;Chromaville 2012 | Chromaville 2017 | MakeUp in Paris 2019;Bobo Chic;;;G;G;15-FEB-17;17-MAG-18;15-FEB-17;17-MAG-18;;;N;;;;;;;;G;;;O;G;G;G;;Italy;;;N;G;;23,41;29,15;29,98
1221;PW202;M;EYESHADOW;GODET;COMPACT POWDER;CREAMY | FROST / PEARLY / SATIN | MAT;LUXURY SMOOTH EYESHADOW;•  Shea butter;;PARABENS;Compact;H;Chromaville 2016;;;Alma Brambilla;G;G;20-GEN-16;17-MAG-18;20-GEN-16;17-MAG-18;;;;;;;;;;;G;;;O;G;O;R;;Italy;;;N;G;;;;
1488;EM425;M;CONCEALER | FOUNDATION;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);BLURRING | LONG LASTING | LUMI-MAT;LTX;Tightening active ingredient of vegetal origin, Vitamin E, Functional Gold and green Interference;;CYCLOPENTHASILOXANE | FRAGRANCE | MINERAL OIL | PARABENS | PARAFFIN | PERFUMES | SLS;Airtight packaging is required;O;Cosmoprof 2018 | Cosmoprof Asia 2019 | MakeUp in Los Angeles 2019;Conceal | Power Luxe;;;G;G;12-APR-18;16-LUG-18;13-APR-18;16-LUG-18;Y;;N;;;;Y;Y;;;G;;;R;G;G;G;;Italy;;;Y;G;Beautopians;30,94;32,28;40,57
1613;LP406;M;BLUSH | EYESHADOW | LIPBALM | MULTIUSE;CHUBBY & JUMBO;ANHYDROUS;LUMI-MAT | VELVETY;MOON RAY;•  Cupuacu butter •  Zeolite;;D5 | PRESERVATIVES;Stick bullet 12.7;H;MakeUp in New York 2018;Black Panther;;;R;R;26-FEB-19;26-FEB-19;26-FEB-19;26-FEB-19;N;;;;;;N;;;;R;;;O;G;O;;;Italy;;;N;R;;16,09;16,74;17,45
2066;SL044;M;EYESHADOW;CUSHION;INJECTION (BACK / FRONT);FROST / PEARLY / SATIN | LONG LASTING | MAT;MICRO VELVET;;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | PHTHALATES | SLS | TALC;;O;Cosmoprof 2022 | Hong Kong Event 2024 | MakeUp in Los Angeles 2023 | MakeUp in New York 2023 | MakeUp in New York 2023 | MakeUp in New York 2024;Editorial Renaissance | Heist | Pop Heart | Powerformace;;;G;G;27-GEN-22;27-APR-22;27-GEN-22;27-APR-22;N;N;;;;BACK INJECTION;N;Y;N;;G;;;G;G;G;;;Italy;;;N;G;Beautopians | Beauty&Ethics | Essentials | Hero Believers | Mainstream Conscious | Solution Focused;30,54;36,4;603,34
2070;LP512;M;GLOSS;FLUID/ LIQUID;ANHYDROUS;LUMINOUS / RADIANT;Fluid Lipgloss;;;;;H;;;;;G;G;25-MAG-22;25-MAG-22;25-MAG-22;25-MAG-22;;;;;;;;;;;G;;;;;G;G;;Italy;;;N;G;;46,48;56,29;63,99
2148;LP715;M;LIPSTICK;STICK;ANHYDROUS (HOT POURED IN MOULD);;PLASTICK;Sesamum Indicum Seed Extract;;;;O;Chromaville 2012 | Cosmoprof 2023;Iconoclast;;;G;G;27-GEN-23;27-APR-23;27-FEB-23;27-APR-23;;;;;;POURING;N;Y;;;O;;;;;G;;;Italy;;;N;G;Beautopians | Beauty&Ethics;35,45;35,47;36,86
2177;EM760;M;FOUNDATION;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);LUMI-MAT;;;;;;H;;;;;R;R;24-LUG-23;;24-LUG-23;;;;;;;;;;;;;;;;;G;;;Italy;;;N;R;;17,96;0;23,43
1962;BK056;M;BLUSH | EYESHADOW | FACE POWDER;GODET;BAKED;CREAMY | FROST / PEARLY / SATIN | MAT | SATIN/PEARLY | TALC FREE | VELVETY | VERSATILE;CHARISMA;;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | PHTHALATES | SILICONES | SLS | TALC;;O;MakeUp in Los Angeles 2023 | MakeUp in Los Angeles 2023 | MakeUp in New York 2024 | MakeUp in Paris 2021 | MakeUp in Paris 2022 | Makeup in Paris 2024;Face Fables | Gold Crush | Milky Tea | Skinware;;;G;G;05-NOV-21;07-FEB-22;20-DIC-21;20-DIC-21;N;N;;;;BAKED;N;Y;;;G;;;G;G;G;;;Italy;;;Y;G;Beautopians | Beauty&Ethics | Essentials | Mainstream Conscious | Solution Focused;17,89;21,5;41,91
1964;LP643;M;LIQUID LIPSTICK;CUSHION | FLUID/ LIQUID | MOUSSE;ANHYDROUS (LIQUID TO CREAM);BLURRING | CREAMY | MAT | VELVETY;SNUGGLER;Pistacia Lentiscus (functional 0,2%);;PERFUMES | SILICONES;;O;Fall-Winter 2011-2012 | MakeUp in Paris 2021 | MakeUp in Paris 2022;Milky Tea | Skinware;;;G;G;21-LUG-21;21-OTT-21;21-LUG-21;21-LUG-21;;;;;;;Y;Y;N;;G;;;;;G;G;;Italy;;;N;G;Beautopians | Beauty&Ethics | Mainstream Conscious;48,64;49,13;60,51
1970;CLN017;M;HIGHLIGHTER;MOUSSE;EMULSION;NO TRANSFER;CLEANSING CLOUD;Glycerine;;PARABENS | PEG | SILICONES;;H;Chromaville 2012 | MakeUp in Paris 2021;Skinware;;;R;R;;;;;;;;;;;N;;;;;;;;;O;;;Care;;;N;R;;;;
2201;PW546;M;FIXER / SETTING;LOOSE;LOOSE POWDER;;LIBERTY;Prebiotic from Saccharomyces (funct. 1%), Aloe Vera (funct. 0,05%), Vitamin C, Vitamin E;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | PHTHALATES | SLS | TALC;;O;MakeUp in New York 2023;Powerformace;;;G;G;18-LUG-23;18-OTT-23;18-LUG-23;18-OTT-23;;;;;;LOOSE PWD FILLING;Y;Y;;;G;;;;;G;;;Italy;31-MAR-24;;N;G;Beautopians | Beauty&Ethics;55,57;56,16;56,96
1905;EM628;M;FOUNDATION;FLUID/ LIQUID;EMULSION (LIQUID TO CREAM);LUMI-MAT | LUMINOUS / RADIANT | NATURAL;NEVER DULL;Skin Identical Carbohydrate complex, Vitamin E;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PHTHALATES | SILICONES | SLS | TALC;;O;Cosmoprof 2020 | Drops 2021 | MakeUp in Los Angeles 2022;Color Thrill | Innovation;;;G;G;03-DIC-20;03-MAR-21;15-FEB-21;17-MAG-21;;;;;;TUBE FILLING;;Y;;;G;;;G;G;G;G;;Italy;;;N;G;Beauty&Ethics;17,43;17,55;18,24
2001;BK054;M;FIXER / SETTING | PRIMER;GODET;BAKED;BLURRING | LUMINOUS / RADIANT;ARIA;Serica Powder;;MINERAL OIL | OGM | PARABENS | PEG | PERFUMES | PHENOXYETHANOL | PHTHALATES | SILICONES | SLS;;O;MakeUp in New York 2021 | MakeUp in New York 2022;New Satin | New Vibes;;;G;G;20-DIC-21;20-DIC-21;20-DIC-21;20-DIC-21;;;;;;BAKED;;Y;;;G;;;;;G;;;Italy;;;N;G;Beautopians | Beauty&Ethics | Hero Believers;17,87;19,86;22,79
2205;LP746;M;GLOSS;FLUID/ LIQUID;ANHYDROUS (LIQUID TO CREAM);;STARDOM;Sodium Hyaluronate, Ricinus Communis Seed Oil, Hydrogenated Castor Oil (1% funct.;;MINERAL OIL | OGM | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | PHTHALATES | PRESERVATIVES | SILICONES | SLS | TALC;;O;MakeUp in New York 2023;Powerformace;;;G;G;04-AGO-23;06-NOV-23;14-LUG-23;13-OTT-23;;;;;;LIQUID FILLING;Y;Y;;;G;;;;;G;;;Italy;30-NOV-23;;N;G;Hero Believers;68,9;70,52;74,07
1909;EM652;M;FOUNDATION;FLUID/ LIQUID;EMULSION;LUMINOUS / RADIANT | MAT;Redemption;*see notes;;OGM | PARABENS | PEG | PHENOXYETHANOL | SILICONES | SLS;;H;Cosmoprof 2021;;;;R;R;14-APR-22;14-APR-22;14-APR-22;14-APR-22;;;;;;;Y;Y;;;;;;O;G;R;G;;Italy;;;N;R;;26,13;0;0
1982;PR247;M;CONCEALER | FOUNDATION;HOT POURED | STICK;ANHYDROUS (HOT POURED IN MOULD);BLURRING | LUMINOUS / RADIANT | MAT | SPECIAL TOUCH;FULSOME;karitè butter;;PARABENS | PARAFFIN | PERFUMES | PHENOXYETHANOL | PRESERVATIVES | SILICONES | SLS | TALC;;O;Cosmoprof 2021 | MakeUp in Paris 2021;A Toast to;;;G;G;09-SET-21;09-DIC-21;09-SET-21;09-DIC-21;Y;;;;;LIPSTICK POURING METAL;N;Y;;;O;;;G;G;G;G;;Italy;;;Y;G;Beauty&Ethics | Mainstream Conscious;32,02;32,47;38,45
1442;PW230;M;FACE POWDER;GODET;COMPACT POWDER;LONG LASTING | MAT | WATERPROOF | WET & DRY;EVER FLAWLESS;;;PARABENS;Compact with aluminium pan;H;Cosmoprof Asia 2017 | MakeUp in New York 2017;Pop Culture;;RenÃ¨ Pisati;G;G;24-NOV-17;26-FEB-18;24-NOV-17;26-FEB-18;N;;;;;;;;;;G;;;O;G;G;R;;Italy;;;N;G;;11,57;11,8;0
1559;LP389;M;LIPBALM;CARE | STICK;ANHYDROUS (HOT POURED IN MOULD);CREAMY | LUMINOUS / RADIANT | NATURAL;GREEN LIGHT/CLEAN BEAUTY BALM;Naturals polyglycerides, Vitamin E;;MINERAL OIL | PARABENS | PARAFFIN | PEG | PHENOXYETHANOL | SILICONES;Stick;H;Cosmoprof 2008 | Cosmoprof 2020 | MakeUp in Los Angeles 2019 | MakeUp in New York 2018 | MakeUp in Paris 2018;Clean Beauty | Clean Motif | Green Light;;;G;G;26-OTT-18;28-GEN-19;26-OTT-18;28-GEN-19;;;;;;;;;;;G;99,50%;;O;G;G;G;;Italy;;;N;G;;15,78;16,54;18,43
392;I29;M;BRONZER | FACE POWDER;GODET;COMPACT POWDER;MAT | NATURAL;Mineral;Vitamin E/Jojoba oil/Shea butter;;PARABENS;Compact ø 59;H;;;;;G;G;07-APR-22;07-APR-22;07-APR-22;07-APR-22;N;;;;;;N;;;;G;;;O;G;O;G;;Italy;;;N;G;;6,87;8,27;12,35
710;M08;M;BLUSH | LIPSTICK;FLUID/ LIQUID;EMULSION;LONG LASTING | LUMI-MAT | NO TRANSFER | WATER;Water colour;Panthenol/ Glycerine;;;Air tight bottle;H;;;;;G;G;05-GIU-19;05-GIU-19;05-GIU-19;05-GIU-19;N;;;;;;N;;;;G;;;O;G;O;;;Italy;;;N;G;;1,4;1,53;1,95
